objectid,filename,youtubeid,vimeoid,title,creator,date,description,subject,location,latitude,longitude,source,identifier,type,format,language,rights,rightsstatement
riaf000000001,charlaeng00001.jpg,,,"Flyer for RIAF Charla 1 with Prof. Brigittine French, Memory and Erasure in the US Highway Femicides",Sarah Campbell,4/30/21,Flyer designed for the first charla in the series with speaker Professor Brigittine French.,feminicide;US;highway;erasure;memory;charla,Grinnell College;Zoom,41.74919897,-92.72004437,,,Image;,image/jpeg,eng,Public domain,http://rightsstatements.org/vocab/NoC-US/1.0/
riaf000000002,charlaesp00001.jpg,,,"Flyer por RIAF primera charla con Prfa. Brigittine French, Memoria y olvido en feminicidios de carretera en los EEUU",Sarah Campbell,4/30/21,Flyer por la primera charla con profesora Brigittine French,feminicidio;EEUU;carretera;memoria;olvido;charla,Grinnell College;Zoom,41.74919897,-92.72004437,,,Image;,image/jpeg,esp,Public domain,http://rightsstatements.org/vocab/NoC-US/1.0/
riaf000000003,charlaeng00002.jpg,,,"Flyer for RIAF Charla 2 with Martín Hernán di Marco and Dabney P. Evans, Understanding Femicide from the Perspectives of the Perpetrators",Sonia Madrigal,5/11/21,Flyer designed for the second charla in the series with speakers Martín Hernán di Marco and Dabney P. Evans.,feminicide;perpetrators;perspective;charla,Emory University,33.79747949,-84.3205576,,,Image;,image/jpeg,eng,Public domain,http://rightsstatements.org/vocab/NoC-US/1.0/
riaf000000004,charlaesp00002.jpg,,,"Flyer por RIAF con Martín Hernán di Marco y Dabney P. Evans, Entender el femicido desde la perspectiva de los perpetradores",Sonia Madrigal,5/11/21,Flyer por la segunda charla con Martín Hernán di Marco y Dabney P. Evans.,feminicidio;perpetradores;perspectivas,Universidad de Buenos Aires,-34.59967553,-58.37303732,,,Image;,image/jpeg,esp,Public domain,http://rightsstatements.org/vocab/NoC-US/1.0/
riaf000000005,logo001.jpg,,,Logo for RIAF,Candelaria Quesada,2021-03,Logo for the RIAF organization. Created by:,logo;riaf,"Buenos Aires, Argentina",-34.60553018,-58.369158,,,Image;,image/jpeg,esp,Public domain,http://rightsstatements.org/vocab/NoC-US/1.0/
riaf000000006,charlaeng00003.jpg,,,Flyer for RIAF Charla with CONAMI,,7/9/21,"Flyer designed for the third charla in the series with  Patricia Torres Sandoval, Maritza del Carmen Yeh Chan, Laura Hernández Pérez, and Dolores Figueroa.",feminicide;México;CONAMI;CIESAS;Indigenous Women,,19.4327232,", -99.13237878218588",,,Image;,image/jpeg,eng,Public domain,http://rightsstatements.org/vocab/NoC-US/1.0/
riaf000000007,charlaesp00003.jpg,,,Flyer por RIAF Charla con CONAMI,,7/9/21,"Flyer por la tercera charla con Patricia Torres Sandoval, Maritza del Carmen Yeh Chan, Laura Hernández Pérez y Dolores Figueroa.",feminicidio;México;CONAMI;CIESAS;Mujeres Indígenas,,19.4327232,", -99.13237878218588",,,Image;,image/jpeg,esp,Public domain,http://rightsstatements.org/vocab/NoC-US/1.0/
riaf000000008,charlaeng00004.jpg,,,Flyer for RIAF Charla with Lara Andrés and Laura Oszust,Sonia Madrigal,8/11/21,Flyer designed for the fourth charla with Lara Andrés and Laura Oszust,,,,,,,Image;,image/jpeg,eng,Public domain,http://rightsstatements.org/vocab/NoC-US/1.0/
riaf000000009,charlaesp00004.jpg,,,Flyer por RIAF charla con Lara Andrés y Laura Oszust,Sonia Madrigal,8/11/21,Flyer por la cuarta charla con Lara Andrés y Laura Oszust,,,,,,,Image;,image/jpeg,esp,Public domain,http://rightsstatements.org/vocab/NoC-US/1.0/
riaf000000010,charlaeng00005.jpg,,,Flyer for RIAF Charla 5 with Professor Emanuela Borzacchiello,Sonia Madrigal,9/23/21,Flyer designed for the fifth charla in the series with speaker Professor Emanuela Borzacchiello.,feminicide;M�xico;archeology,,,,,,image;,image/jpeg,eng,Public domain,http://rightsstatements.org/vocab/NoC-US/1.0/
riaf000000011,charlasesp00005.jpg,,,Flyer por RIAF Charla con Emanuela Borzacchiello,Sonia Madrigal,9/23/21,Flyer por la charla con Profesora Emanuela Borzacchiello.,feminicide;M�xico;arqueolog�a,,,,,,image;,image/jpeg,esp,Public domain,http://rightsstatements.org/vocab/NoC-US/1.0/
